Case_ID;Event;Type;Order;Is_Chord
1;D2;quarter note;1;False
1;D2;quarter note;2;False
1;D2;quarter note;3;False
1;D#3;quarter note;4;False
2;D2;quarter note;5;False
2;D2;quarter note;6;False
2;D2;quarter note;7;False
2;C#3;quarter note;8;False
3;D2;quarter note;9;False
3;D2;quarter note;10;False
3;D2;quarter note;11;False
3;D#3;quarter note;12;False
4;D2;quarter note;13;False
4;D2;quarter note;14;False
4;D2;quarter note;15;False
4;C#3;quarter note;16;False
5;D2;quarter note;17;False
5;D2;quarter note;18;False
5;D2;quarter note;19;False
5;D#3;quarter note;20;False
6;D2;quarter note;21;False
6;D2;quarter note;22;False
6;D2;quarter note;23;False
6;C#3;quarter note;24;False
7;D2;quarter note;25;False
7;D2;quarter note;26;False
7;D2;quarter note;27;False
7;D#3;quarter note;28;False
8;D2;quarter note;29;False
8;D2;quarter note;30;False
8;D2;quarter note;31;False
8;C#3;quarter note;32;False
9;D2;quarter note;33;False
9;D2;quarter note;34;False
9;D2;quarter note;35;False
9;D#3;quarter note;36;False
10;D2;quarter note;37;False
10;D2;quarter note;38;False
10;D2;quarter note;39;False
10;C#3;quarter note;40;False
11;D2;quarter note;41;False
11;D2;quarter note;42;False
11;D2;quarter note;43;False
11;D#3;quarter note;44;False
12;D2;quarter note;45;False
12;D2;quarter note;46;False
12;D2;quarter note;47;False
12;C#3;quarter note;48;False
13;D2;quarter note;49;False
13;D2;quarter note;50;False
13;D2;quarter note;51;False
13;D#3;quarter note;52;False
14;D2;quarter note;53;False
14;D2;quarter note;54;False
14;D2;quarter note;55;False
14;C#3;quarter note;56;False
15;D2;quarter note;57;False
15;D2;quarter note;58;False
15;D2;quarter note;59;False
15;D#3;quarter note;60;False
16;D2;quarter note;61;False
16;D2;quarter note;62;False
16;D2;quarter note;63;False
16;C#3;quarter note;64;False
17;D2;quarter note;65;False
17;D2;quarter note;66;False
17;D2;quarter note;67;False
17;D#3;quarter note;68;False
18;D2;quarter note;69;False
18;D2;quarter note;70;False
18;D2;quarter note;71;False
18;C#3;quarter note;72;False
19;D2;quarter note;73;False
19;D2;quarter note;74;False
19;D2;quarter note;75;False
19;D#3;quarter note;76;False
20;D2;quarter note;77;False
20;D2;quarter note;78;False
20;D2;quarter note;79;False
20;C#3;quarter note;80;False
21;D2;quarter note;81;False
21;D2;quarter note;82;False
21;D2;quarter note;83;False
21;D#3;quarter note;84;False
22;D2;quarter note;85;False
22;D2;quarter note;86;False
22;D2;quarter note;87;False
22;C#3;quarter note;88;False
23;D2;quarter note;89;False
23;D2;quarter note;90;False
23;D2;quarter note;91;False
23;D#3;quarter note;92;False
24;D2;quarter note;93;False
24;D2;quarter note;94;False
24;D2;quarter note;95;False
24;C#3;quarter note;96;False
25;D2;quarter note;97;False
25;D2;quarter note;98;False
25;D2;quarter note;99;False
25;D#3;quarter note;100;False
26;D2;quarter note;101;False
26;D2;quarter note;102;False
26;D2;quarter note;103;False
26;C#3;quarter note;104;False
27;D2;quarter note;105;False
27;D2;quarter note;106;False
27;D2;quarter note;107;False
27;D#3;quarter note;108;False
28;D2;quarter note;109;False
28;D2;quarter note;110;False
28;D2;quarter note;111;False
28;C#3;quarter note;112;False
29;D2;quarter note;113;False
29;D2;quarter note;114;False
29;D2;quarter note;115;False
29;D#3;quarter note;116;False
30;D2;quarter note;117;False
30;D2;quarter note;118;False
30;D2;quarter note;119;False
30;C#3;quarter note;120;False
31;D2;quarter note;121;False
31;D2;quarter note;122;False
31;D2;quarter note;123;False
31;D#3;quarter note;124;False
32;D2;eighth note;125;False
32;D2;eighth note;126;False
32;D2;eighth note;127;False
32;D2;eighth note;128;True
32;C2;eighth note;128;True
32;C#3;half note;129;False
