Case_ID;Event;Type;Order;Is_Chord;Timestamp
1;F#4;quarter note;1;True;2020-01-20T00:00:00.000000
1;E5;quarter note;1;True;2020-01-20T00:00:00.000000
1;F#4;quarter note;2;True;2020-01-20T00:00:00.500000
1;E5;quarter note;2;True;2020-01-20T00:00:00.500000
1;Pause;quarter note;3;False;2020-01-20T00:00:01.000000
1;F#4;quarter note;4;True;2020-01-20T00:00:01.500000
1;E5;quarter note;4;True;2020-01-20T00:00:01.500000
2;Pause;quarter note;5;False;2020-01-20T00:00:02.000000
2;F#4;quarter note;6;True;2020-01-20T00:00:02.500000
2;C5;quarter note;6;True;2020-01-20T00:00:02.500000
2;F#4;quarter note;7;True;2020-01-20T00:00:03.000000
2;E5;quarter note;7;True;2020-01-20T00:00:03.000000
2;Pause;quarter note;8;False;2020-01-20T00:00:03.500000
3;G4;quarter note;9;True;2020-01-20T00:00:04.000000
3;B4;quarter note;9;True;2020-01-20T00:00:04.000000
3;G5;quarter note;9;True;2020-01-20T00:00:04.000000
3;Pause;dotted half note;10;False;2020-01-20T00:00:05.500000
4;G4;quarter note;11;False;2020-01-20T00:00:06.000000
4;Pause;dotted half note;12;False;2020-01-20T00:00:07.500000
5;E4;quarter note;13;True;2020-01-20T00:00:08.000000
5;C5;quarter note;13;True;2020-01-20T00:00:08.000000
5;Pause;half note;14;False;2020-01-20T00:00:09.000000
5;C4;quarter note;15;True;2020-01-20T00:00:09.500000
5;G4;quarter note;15;True;2020-01-20T00:00:09.500000
6;Pause;half note;16;False;2020-01-20T00:00:10.500000
6;G3;quarter note;17;True;2020-01-20T00:00:11.000000
6;E4;quarter note;17;True;2020-01-20T00:00:11.000000
6;Pause;half note;18;False;2020-01-20T00:00:12.000000
7;C4;quarter note;19;True;2020-01-20T00:00:12.500000
7;A4;quarter note;19;True;2020-01-20T00:00:12.500000
7;Pause;quarter note;20;False;2020-01-20T00:00:13.000000
7;D4;quarter note;21;True;2020-01-20T00:00:13.500000
7;B4;quarter note;21;True;2020-01-20T00:00:13.500000
8;Pause;quarter note;22;False;2020-01-20T00:00:14.000000
8;C#4;quarter note;23;True;2020-01-20T00:00:14.500000
8;A#4;quarter note;23;True;2020-01-20T00:00:14.500000
8;C4;quarter note;24;True;2020-01-20T00:00:15.000000
8;A4;quarter note;24;True;2020-01-20T00:00:15.000000
8;Pause;quarter note;25;False;2020-01-20T00:00:15.500000
9;C4;triplet half note;26;True;2020-01-20T00:00:15.833333
9;G4;triplet half note;26;True;2020-01-20T00:00:15.833333
9;Pause;triplet half note;27;False;2020-01-20T00:00:16.166666
9;G4;triplet half note;28;True;2020-01-20T00:00:16.499999
9;E5;triplet half note;28;True;2020-01-20T00:00:16.499999
9;Pause;triplet half note;29;False;2020-01-20T00:00:16.833332
9;B4;triplet half note;30;True;2020-01-20T00:00:17.166665
9;G5;triplet half note;30;True;2020-01-20T00:00:17.166665
9;Pause;triplet half note;31;False;2020-01-20T00:00:17.499998
10;C5;quarter note;32;True;2020-01-20T00:00:17.999998
10;A5;quarter note;32;True;2020-01-20T00:00:17.999998
10;Pause;quarter note;33;False;2020-01-20T00:00:18.499998
10;A4;quarter note;34;True;2020-01-20T00:00:18.999998
10;F5;quarter note;34;True;2020-01-20T00:00:18.999998
10;B4;quarter note;35;True;2020-01-20T00:00:19.499998
10;G5;quarter note;35;True;2020-01-20T00:00:19.499998
11;Pause;quarter note;36;False;2020-01-20T00:00:19.999998
11;A4;quarter note;37;True;2020-01-20T00:00:20.499998
11;E5;quarter note;37;True;2020-01-20T00:00:20.499998
11;Pause;quarter note;38;False;2020-01-20T00:00:20.999998
11;E4;quarter note;39;True;2020-01-20T00:00:21.499998
11;C5;quarter note;39;True;2020-01-20T00:00:21.499998
12;F4;quarter note;40;True;2020-01-20T00:00:21.999998
12;D5;quarter note;40;True;2020-01-20T00:00:21.999998
12;D4;quarter note;41;True;2020-01-20T00:00:22.499998
12;B4;quarter note;41;True;2020-01-20T00:00:22.499998
12;Pause;half note;42;False;2020-01-20T00:00:23.499998
13;E4;quarter note;43;True;2020-01-20T00:00:23.999998
13;C5;quarter note;43;True;2020-01-20T00:00:23.999998
13;Pause;half note;44;False;2020-01-20T00:00:24.999998
13;C4;quarter note;45;True;2020-01-20T00:00:25.499998
13;G4;quarter note;45;True;2020-01-20T00:00:25.499998
14;Pause;half note;46;False;2020-01-20T00:00:26.499998
14;G3;quarter note;47;True;2020-01-20T00:00:26.999998
14;E4;quarter note;47;True;2020-01-20T00:00:26.999998
14;Pause;half note;48;False;2020-01-20T00:00:27.999998
15;C4;quarter note;49;True;2020-01-20T00:00:28.499998
15;A4;quarter note;49;True;2020-01-20T00:00:28.499998
15;Pause;quarter note;50;False;2020-01-20T00:00:28.999998
15;D4;quarter note;51;True;2020-01-20T00:00:29.499998
15;B4;quarter note;51;True;2020-01-20T00:00:29.499998
16;Pause;quarter note;52;False;2020-01-20T00:00:29.999998
16;C#4;quarter note;53;True;2020-01-20T00:00:30.499998
