Case_ID;Event;Type;Order;Is_Chord
1;B4;eighth note;1;False
1;E4;eighth note;2;False
1;G4;eighth note;3;False
1;B4;eighth note;4;False
1;E4;eighth note;5;False
1;G4;eighth note;6;False
1;B4;eighth note;7;False
1;E4;eighth note;8;False
2;G4;eighth note;9;False
2;B4;eighth note;10;False
2;E4;eighth note;11;False
2;G4;eighth note;12;False
2;B4;eighth note;13;False
2;E4;eighth note;14;False
2;G4;quarter note;15;False
3;C4;eighth note;16;False
3;F#4;eighth note;17;False
3;A5;eighth note;18;False
3;C4;eighth note;19;False
3;F#4;eighth note;20;False
3;A5;eighth note;21;False
3;C4;eighth note;22;False
3;F#4;eighth note;23;False
4;A5;eighth note;24;False
4;C4;eighth note;25;False
4;F#4;eighth note;26;False
4;A5;eighth note;27;False
4;C4;eighth note;28;False
4;F#4;eighth note;29;False
4;A5;quarter note;30;False
5;D4;eighth note;31;False
5;G4;eighth note;32;False
5;B5;eighth note;33;False
5;D4;eighth note;34;False
5;G4;eighth note;35;False
5;B5;eighth note;36;False
5;D4;eighth note;37;False
5;G4;eighth note;38;False
6;B5;eighth note;39;False
6;D4;eighth note;40;False
6;G4;eighth note;41;False
6;B5;eighth note;42;False
6;D4;eighth note;43;False
6;G4;eighth note;44;False
6;B5;quarter note;45;False
7;B4;eighth note;46;False
7;E4;eighth note;47;False
7;G4;eighth note;48;False
7;B4;eighth note;49;False
7;E4;eighth note;50;False
7;G4;eighth note;51;False
7;A4;eighth note;52;False
7;D#4;eighth note;53;False
8;F#4;eighth note;54;False
8;A4;eighth note;55;False
8;D#4;eighth note;56;False
8;F#4;eighth note;57;False
8;G3;eighth note;58;False
8;D#4;eighth note;59;False
8;E4;quarter note;60;False
9;E2;half note;61;True
9;E3;half note;61;True
9;E2;dotted quarter note;62;True
9;E3;dotted quarter note;62;True
9;E2;quarter note;63;True
9;D3;quarter note;63;True
10;E2;eighth note;64;True
10;D3;eighth note;64;True
10;E2;quarter note;65;True
10;D3;quarter note;65;True
10;E2;eighth note;66;True
10;D3;eighth note;66;True
10;E2;eighth note;67;True
10;D3;eighth note;67;True
10;E2;eighth note;68;True
10;D3;eighth note;68;True
10;E2;eighth note;69;True
10;D3;eighth note;69;True
11;E2;half note;70;True
11;C3;half note;70;True
11;E2;dotted quarter note;71;True
11;C3;dotted quarter note;71;True
11;E2;quarter note;72;True
11;B3;quarter note;72;True
12;E2;eighth note;73;True
12;B3;eighth note;73;True
12;E2;quarter note;74;True
12;B3;quarter note;74;True
12;E2;eighth note;75;True
12;B3;eighth note;75;True
12;E2;eighth note;76;True
12;B3;eighth note;76;True
12;E2;eighth note;77;True
12;B3;eighth note;77;True
12;E2;eighth note;78;True
12;B3;eighth note;78;True
13;E2;half note;79;True
13;E3;half note;79;True
13;E2;dotted quarter note;80;True
13;E3;dotted quarter note;80;True
13;E2;quarter note;81;True
13;D3;quarter note;81;True
14;E2;eighth note;82;True
14;D3;eighth note;82;True
14;E2;quarter note;83;True
14;D3;quarter note;83;True
14;E2;eighth note;84;True
14;D3;eighth note;84;True
14;E2;eighth note;85;True
14;D3;eighth note;85;True
14;E2;eighth note;86;True
14;D3;eighth note;86;True
14;E2;eighth note;87;True
14;D3;eighth note;87;True
15;E2;half note;88;True
15;C3;half note;88;True
15;E2;dotted quarter note;89;True
15;C3;dotted quarter note;89;True
15;E2;quarter note;90;True
15;B3;quarter note;90;True
16;E2;eighth note;91;True
16;B3;eighth note;91;True
16;E2;quarter note;92;True
16;B3;quarter note;92;True
16;E2;eighth note;93;True
16;B3;eighth note;93;True
16;E2;eighth note;94;True
16;B3;eighth note;94;True
16;E2;eighth note;95;True
16;B3;eighth note;95;True
16;E2;eighth note;96;True
16;B3;eighth note;96;True
17;E2;half note;97;True
17;E3;half note;97;True
17;B4;half note;97;True
17;C5;half note;97;True
17;E2;dotted quarter note;98;True
17;E3;dotted quarter note;98;True
17;B4;dotted quarter note;98;True
17;C5;dotted quarter note;98;True
17;E2;quarter note;99;True
17;D3;quarter note;99;True
17;A4;quarter note;99;True
17;B5;quarter note;99;True
18;E2;eighth note;100;True
18;D3;eighth note;100;True
18;A4;eighth note;100;True
18;B5;eighth note;100;True
18;E2;quarter note;101;True
18;D3;quarter note;101;True
18;A4;quarter note;101;True
18;B5;quarter note;101;True
18;E2;eighth note;102;True
18;D3;eighth note;102;True
18;A4;eighth note;102;True
18;B5;eighth note;102;True
18;E2;eighth note;103;True
18;D3;eighth note;103;True
18;A4;eighth note;103;True
18;B5;eighth note;103;True
18;E2;eighth note;104;True
18;D3;eighth note;104;True
18;A4;eighth note;104;True
18;B5;eighth note;104;True
18;E2;eighth note;105;True
18;D3;eighth note;105;True
18;A4;eighth note;105;True
18;B5;eighth note;105;True
19;E2;half note;106;True
19;C3;half note;106;True
19;G3;half note;106;True
19;A5;half note;106;True
19;E2;dotted quarter note;107;True
19;C3;dotted quarter note;107;True
19;G3;dotted quarter note;107;True
19;A5;dotted quarter note;107;True
19;E2;quarter note;108;True
19;B3;quarter note;108;True
19;F#3;quarter note;108;True
19;G4;quarter note;108;True
20;E2;eighth note;109;True
20;B3;eighth note;109;True
20;F#3;eighth note;109;True
20;G4;eighth note;109;True
20;E2;quarter note;110;True
20;B3;quarter note;110;True
20;F#3;quarter note;110;True
20;G4;quarter note;110;True
20;E2;eighth note;111;True
20;B3;eighth note;111;True
20;F#3;eighth note;111;True
20;G4;eighth note;111;True
20;E2;eighth note;112;True
20;B3;eighth note;112;True
20;F#3;eighth note;112;True
20;G4;eighth note;112;True
20;E2;eighth note;113;True
20;B3;eighth note;113;True
20;F#3;eighth note;113;True
20;G4;eighth note;113;True
21;E2;eighth note;114;True
21;B3;eighth note;114;True
21;F#3;eighth note;114;True
21;G4;eighth note;114;True
21;E2;half note;115;True
21;E3;half note;115;True
21;B4;half note;115;True
21;C5;half note;115;True
21;E2;dotted quarter note;116;True
21;E3;dotted quarter note;116;True
21;B4;dotted quarter note;116;True
21;C5;dotted quarter note;116;True
22;E2;quarter note;117;True
22;D3;quarter note;117;True
22;A4;quarter note;117;True
22;B5;quarter note;117;True
22;E2;eighth note;118;True
22;D3;eighth note;118;True
22;A4;eighth note;118;True
22;B5;eighth note;118;True
22;E2;quarter note;119;True
22;D3;quarter note;119;True
22;A4;quarter note;119;True
22;B5;quarter note;119;True
